question	sentence
かごには、1つだめになり、20%がまだ青く、2つが酸っぱく、残りがいい状態のオレンジが25個入っています。何個のオレンジがいい状態ですか？	Wait, the way it's written in Japanese is: かごには、1つだめになり、20%がまだ青く、2つが酸っぱく、残りがいい状態のオレンジが25個入っています。
ジムはテレビを観て2時間過ごし、それからベッドに行ってその半分の時間読書します。これを週に3回行います。彼は4週間で、何時間テレビを観ることと読書に費やしますか？	- 4週間で (in 4 weeks)
ジムはテレビを観て2時間過ごし、それからベッドに行ってその半分の時間読書します。これを週に3回行います。彼は4週間で、何時間テレビを観ることと読書に費やしますか？	- テレビを観ることと読書に費やしますか (does he spend on watching TV and reading)
ジムはテレビを観て2時間過ごし、それからベッドに行ってその半分の時間読書します。これを週に3回行います。彼は4週間で、何時間テレビを観ることと読書に費やしますか？	- テレビを観て2時間過ごす (spends 2 hours watching TV)
ジムはテレビを観て2時間過ごし、それからベッドに行ってその半分の時間読書します。これを週に3回行います。彼は4週間で、何時間テレビを観ることと読書に費やしますか？	- それからベッドに行ってその半分の時間読書 (then reads for half the time he watched TV)
ジムはテレビを観て2時間過ごし、それからベッドに行ってその半分の時間読書します。これを週に3回行います。彼は4週間で、何時間テレビを観ることと読書に費やしますか？	- これを週に3回 (does this 3 times a week)
ジムはテレビを観て2時間過ごし、それからベッドに行ってその半分の時間読書します。これを週に3回行います。彼は4週間で、何時間テレビを観ることと読書に費やしますか？	- 4週間で何時間...に費やしますか (how many hours does he spend in 4 weeks)
2人の少女がそれぞれ24リットルの水を6分の1飲んだ。それから男の子が水を6リットル飲んだ。何リットルの水が残ったか？	Original problem: 2人の少女がそれぞれ24リットルの水を6分の1飲んだ。それから男の子が水を6リットル飲んだ。何リットルの水が残ったか？
クリスティーナは誕生日会を計画しており、4分の1の出席者は参加しないので、各招待客につき.75個のギフトバッグが必要です。彼女は16人の友人を招待しました。ギフトバッグはそれぞれ$2です。彼女はいくら使うことになりますか？	4分の1の出席者は参加しないので (Since 1/4 of the attendees do not participate), 各招待客につき.75個のギフトバッグが必要です (for each invitee, 0.75 gift bags are needed).
クリスティーナは誕生日会を計画しており、4分の1の出席者は参加しないので、各招待客につき.75個のギフトバッグが必要です。彼女は16人の友人を招待しました。ギフトバッグはそれぞれ$2です。彼女はいくら使うことになりますか？	- 4分の1の出席者は参加しないので (Since 1/4 of the attendees do not participate)
近所では、ペットのウサギの数がペットの犬と猫を合わせた数よりも12匹少ない。犬1匹あたり2匹の猫がおり、犬の数は60匹だとすると、全部で近所には何匹のペットがいますか？	- ペットのウサギの数 (number of pet rabbits)
近所では、ペットのウサギの数がペットの犬と猫を合わせた数よりも12匹少ない。犬1匹あたり2匹の猫がおり、犬の数は60匹だとすると、全部で近所には何匹のペットがいますか？	- ペットの犬と猫を合わせた数 (the combined number of dogs and cats)
近所では、ペットのウサギの数がペットの犬と猫を合わせた数よりも12匹少ない。犬1匹あたり2匹の猫がおり、犬の数は60匹だとすると、全部で近所には何匹のペットがいますか？	Subject: ペットのウサギの数 (number of pet rabbits)
近所では、ペットのウサギの数がペットの犬と猫を合わせた数よりも12匹少ない。犬1匹あたり2匹の猫がおり、犬の数は60匹だとすると、全部で近所には何匹のペットがいますか？	Object: ペットの犬と猫を合わせた数 (the combined number of dogs and cats)
ジョンは朝ごはん、昼ごはん、夕飯の時に1杯の水を飲むことが好きだ。最終的に、彼はベッドに行く前にも1杯飲む。ジョンは平日毎日これをするが、週末はリラックスしたいと思っており、夕飯時には代わりにソーダを飲む。彼は週に何倍の水を飲むか？	The problem says: ジョンは朝ごはん、昼ごはん、夕飯の時に1杯の水を飲むことが好きだ。最終的に、彼はベッドに行く前にも1杯飲む。ジョンは平日毎日これをするが、週末はリラックスしたいと思っており、夕飯時には代わりにソーダを飲む。彼は週に何倍の水を飲むか？
ブライアンの友達ボビーは、ブライアンが所持するゲームの数の3倍よりも5個少ないゲームを持っています。もしもブライアンが20個のビデオゲームを持っていて、比較する直前に5個なくしていた場合、ボビーはゲームを何個もっていますか？	"- もしもブライアンが20個のビデオゲームを持っている (If Brian has 20 video games)
- いて (and)
- 比較する直前に5個なくしていた場合 (in the case where right before comparing, [he] had lost 5)
- ボビーはゲームを何個もっていますか (how many games does Bobby have)"
ジョンは牛乳を2ドルで、卵を3ドルで、電球を3ドルで、カップを3ドルで、4ドルでゴキブリ用の罠を購入する。食べ物以外には10%の税金が課される場合、すべてでいくらになりましたか。	The original problem lists: 牛乳 (milk), 卵 (eggs), 電球 (light bulb), カップ (cup), and 4ドルでゴキブリ用の罠 (4 dollars for a roach trap).
ジョニーは彼の部屋の床のおもちゃを拾っている。彼は床に、500ピース入ったレゴの箱、500ピース入ったものの3倍の数が入った箱、1/4の数のピースが入った箱をひっくり返した。彼がすべてのレゴを拾い上げたら、全部で何個のブロックを拾い上げますか？	The problem says: 500ピース入ったレゴの箱、500ピース入ったものの3倍の数が入った箱、1/4の数のピースが入った箱
ジョニーは彼の部屋の床のおもちゃを拾っている。彼は床に、500ピース入ったレゴの箱、500ピース入ったものの3倍の数が入った箱、1/4の数のピースが入った箱をひっくり返した。彼がすべてのレゴを拾い上げたら、全部で何個のブロックを拾い上げますか？	But no, the problem states: 500ピース入ったものの3倍の数が入った箱、1/4の数のピースが入った箱
ブレイクとケリーは15分でどちらがたくさん走れるかを競っている。彼らは100ヤードの長さのフットボール場で、競走することに決めてあ。ブレイクは、15回走って往復する。ケリーは1回往復してから、ブレイクの隣で走りたくないと決め、40ヤードラインまで走って、戻った。彼女はこれを34回行った。勝者は敗者よりどれくらい長く走ったか？	"- ケリーは1回往復してから: Kerry, after once going back and forth,
- ブレイクの隣で走りたくないと決め、: decided she didn't want to run next to Break,
- 40ヤードラインまで走って、戻った: ran to the 40-yard line and returned."
ブレイクとケリーは15分でどちらがたくさん走れるかを競っている。彼らは100ヤードの長さのフットボール場で、競走することに決めてあ。ブレイクは、15回走って往復する。ケリーは1回往復してから、ブレイクの隣で走りたくないと決め、40ヤードラインまで走って、戻った。彼女はこれを34回行った。勝者は敗者よりどれくらい長く走ったか？	- 彼女はこれを34回行った。: She did this 34 times.
ジェイクは昆虫博物館まで歩いている。彼は8本足の蜘蛛を80匹、6本足の虫を90匹、それぞれ10本の足がある希少な変異体の無脊椎動物を見る。ジェイクは全部で何本の足を見る？	- 8本足の蜘蛛を80匹: 80 spiders with 8 legs each.
ジェイクは昆虫博物館まで歩いている。彼は8本足の蜘蛛を80匹、6本足の虫を90匹、それぞれ10本の足がある希少な変異体の無脊椎動物を見る。ジェイクは全部で何本の足を見る？	- 6本足の虫を90匹: 90 insects with 6 legs each.
ジェイクは昆虫博物館まで歩いている。彼は8本足の蜘蛛を80匹、6本足の虫を90匹、それぞれ10本の足がある希少な変異体の無脊椎動物を見る。ジェイクは全部で何本の足を見る？	- それぞれ10本の足がある希少な変異体の無脊椎動物を見る: sees rare mutant invertebrates each with 10 legs.
ジェイクは昆虫博物館まで歩いている。彼は8本足の蜘蛛を80匹、6本足の虫を90匹、それぞれ10本の足がある希少な変異体の無脊椎動物を見る。ジェイクは全部で何本の足を見る？	1. 8本足の蜘蛛を80匹 (80 spiders with 8 legs each)
ジェイクは昆虫博物館まで歩いている。彼は8本足の蜘蛛を80匹、6本足の虫を90匹、それぞれ10本の足がある希少な変異体の無脊椎動物を見る。ジェイクは全部で何本の足を見る？	2. 6本足の虫を90匹 (90 insects with 6 legs each)
ジェイクは昆虫博物館まで歩いている。彼は8本足の蜘蛛を80匹、6本足の虫を90匹、それぞれ10本の足がある希少な変異体の無脊椎動物を見る。ジェイクは全部で何本の足を見る？	3. それぞれ10本の足がある希少な変異体の無脊椎動物 (rare mutant invertebrates each with 10 legs)
カブースには4羽の鳥がいる。サリーツーはグラニーレッドよりも3歳年上だ。グラニーレッドはサリーフォーの2倍の年だ。サリーフォーがサリーサーティートゥーと同じ年で、サリーサーティートゥーが8歳の場合、4羽の年の合計はいくらになる？	"1. サリーツー (Sallytwo)
2. グラニーレッド (Granny Red)
3. サリーフォー (Sallyfour)
4. サリーサーティートゥー (Sallythirtytwo)"
ゼイドは彼の給料の1/4を家賃に使用し、1/3を車の燃料に仕位、残りの半分を彼の好きなチャリティに寄付している。彼は娘に毎週の出費用に200ドル、妻に食料品や家庭用品用に700ドル渡している。ゼイドが6000ドル月に稼いでる場合、これらの出費と寄付の後にいくら残っているか？	- 娘に毎週の出費用に200ドル: To his daughter, 200 dollars for weekly expenses.
カールの大好物はチーズです。彼は今週毎日お昼にサンドイッチを食べて、サンドイッチ1つ1つにチーズを2切れ使いました。その週のうち3日間は、朝ごはんにチーズ卵オムレツを食べ、オムレツ1つあたりサンドイッチよりも1切れ多いチーズを使いました。その週、何日かは大きなお皿で使ったマカロニチーズを食べ続け、これにはチーズを8切れ使いました。合計で何切れのチーズを使ったでしょうか？	"- その週 (sono shū): that week
- 何日かは (nan nichiga wa): for some days (hedged with ""wa,"" but maybe it's a typo and should be 何日か (nan nichi ka) meaning ""several days"")
- 大きなお皿で使った (ōkina o-sara de used): using a large plate
- マカロニチーズを食べ続け (makaroni chīzu wo tabe tsuzukeru): continued to eat macaroni cheese
- これにはチーズを8切れ使いました (kore ni wa chīzu wo 8 gire tsukaimashita): for this, used 8 pieces of cheese."
マイケルは自転車に乗ることが大好きです。彼は少なくとも週に5回乗って、毎回25キロ走ります。彼はそれを4週間行い、それから週に2回だけ、しかし60キロ毎回乗ることに決めました、彼はそれを3週間続けました。マイケルは全部で何キロ走りましたか？	The problem says: マイケルは自転車に乗ることが大好きです。彼は少なくとも週に5回乗って、毎回25キロ走ります。彼はそれを4週間行い、それから週に2回だけ、しかし60キロ毎回乗ることに決めました、彼はそれを3週間続けました。マイケルは全部で何キロ走りましたか？
20ダースのカップは、$6000で売られている半ダースの皿の総額よりも、$1200安いです。それぞれのカップを購入する際の総額を計算しなさい。	The problem says 20ダースのカップ (20 dozen cups) は、$6000で売られている半ダースの皿の総額よりも、$1200安いです。それぞれのカップを購入する際の総額を計算しなさい
ボードゲームで4人の生徒たちは全部で251ポイント獲得しました。ナオミは68ポイント得ました。ユリはナオミが得たポイントの半分よりも10多くポイントを獲得し、ブリアナはナオミよりも17ポイント多く獲得しました。ジョジョは何ポイント得ましたか？	The problem says: ボードゲームで4人の生徒たちは全部で251ポイント獲得しました。ナオミは68ポイント得ました。ユリはナオミが得たポイントの半分よりも10多くポイントを獲得し、ブリアナはナオミよりも17ポイント多く獲得しました。ジョジョは何ポイント得ましたか？
ボードゲームで4人の生徒たちは全部で251ポイント獲得しました。ナオミは68ポイント得ました。ユリはナオミが得たポイントの半分よりも10多くポイントを獲得し、ブリアナはナオミよりも17ポイント多く獲得しました。ジョジョは何ポイント得ましたか？	Yes, the names are Naomi (ナオミ), Yui (ユリ), Briana (ブリアナ), and JoJo (ジョジョ).
ある水槽に120リットルの水が入っています。セリーヌは彼女の小さな庭に水をまくため水槽の水を90リットル分使用しました。その後、残った水量の2倍の量の雨水を集めることができました。水槽に入っている水の量はいくらですか？	"- その後 (After that)
- 残った水量 (the remaining volume of water)
- の2倍の量 (twice the amount)
- の雨水 (of rainwater)
- を集めることができました (was able to collect)"
アンドリューはニュージャージーからロチェスターまで車で旅行しようと計画しています。バスで移動すれば6日間かかり、車で移動すればその半分の日数で済みます。ロチェスターまでバスで移動し、ニュージャージーまで車で帰ってきたとしたら、何日間かかるでしょうか？	So, 6日間 (6 days) and その半分の日数 (half the number of days).
スティーブはもっとトマトを食べようと決意し、自分のチェリートマトの栽培を始めることにしました。彼はガールフレンドの2倍の量のトマトを食べます。彼は1日あたり6個のトマトを食べます。1つのつるから1週間あたり3つのトマトを作れるとした場合、スティーブは何本のつるが必要でしょうか？	"But the problem states he's growing his own tomatoes (自分のチェリートマトの栽培), so ""his own,"" which would imply for himself."
