question	sent_idx	sentence	reasons	markers	nums_before	nums_after
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	43	So the answer should be 3.	explicit_markers	should be	1 2 3	3
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	44	But maybe they need 2 skeins of blue and then half of that amount in white, which is 1, so total 3.	contrastive_revision		1 2 3	1 2 3
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	8	"Wait, the problem says the renovations ""increased the cost of the house by 150%."""	explicit_markers	Wait	000 150 50 80	150
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	12	Wait, maybe the total investment (purchase + repairs) is $80,000 + $50,000 = $130,000, and the value increased by 150% of the original purchase price?	explicit_markers,numeric_revision	Wait	000 150 50 80	000 130 150 50 80
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	14	"Wait, the problem says ""increased the cost of the house by 150%."""	explicit_markers	Wait	000 130 150 50 80	150
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	21	But wait, does that take into account the renovations he paid for?	explicit_markers,contrastive_revision	wait	000 1.5 120 130 150 200 50 80	
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	23	Wait, maybe the problem is structured differently.	explicit_markers	Wait	000 1.5 120 130 150 200 50 80	
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	31	Wait, maybe the total cost after repairs is $130,000, and the value increased by 150% over the original cost?	explicit_markers	Wait	000 1.5 120 130 150 200 50 80	000 130 150
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	32	Wait, that would be confusing.	explicit_markers	Wait	000 1.5 120 130 150 200 50 80	
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	33	Wait, maybe the problem is saying that the repairs increased the market value of the house by 150% of the original purchase price.	explicit_markers	Wait	000 1.5 120 130 150 200 50 80	150
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	37	But wait, let me make sure.	explicit_markers,contrastive_revision	wait	000 1.5 120 130 150 200 50 70 80	
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	42	But that seems too high.	contrastive_revision		000 1.5 120 130 150 195 200 325 50 70 80	
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	43	"Wait, but the problem says ""increased the cost of the house by 150%."""	explicit_markers,contrastive_revision	Wait	000 1.5 120 130 150 195 200 325 50 70 80	150
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	52	But that seems like a different interpretation.	contrastive_revision		000 1.5 120 130 150 195 200 325 50 70 80	
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	57	But he spent $50,000 on repairs.	contrastive_revision		000 1.5 100 120 130 150 195 2.5 200 325 50 70 80	000 50
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	69	"But that seems less likely, because the problem says ""increased the cost of the house by 150%,"" which probably refers to the original cost, not the repairs."	contrastive_revision		000 1.5 100 120 130 150 155 195 2.5 200 25 325 50 70 75 80	150
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	73	But that seems like a different way of calculating.	contrastive_revision		000 1.5 100 120 130 150 155 195 2.5 200 25 325 50 70 75 80	
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	74	"But given the problem statement, which says ""increased the cost of the house by 150%,"" I think the most logical interpretation is that the original cost (purchase price) was $80,000, and the renovations increased that cost (i.e., the value) by 150% of $80,000, which is $120,000."	contrastive_revision		000 1.5 100 120 130 150 155 195 2.5 200 25 325 50 70 75 80	000 120 150 80
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	78	Alternatively, maybe the problem is a bit ambiguously phrased, but given the numbers, that's probably what is intended.	contrastive_revision		000 1.5 100 120 130 150 155 195 2.5 200 25 325 50 70 75 80	
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	85	Alternatively, if the 150% increase is on the repairs, then 150% of $50,000 is $75,000, so the value becomes $80,000 + $75,000 = $155,000.	edit_pattern		000 1.5 100 120 130 150 155 195 2.5 200 25 325 50 70 75 80	000 150 155 50 75 80
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	86	But that would mean the repairs added $75,000 in value, but he spent $50,000 on them.	contrastive_revision		000 1.5 100 120 130 150 155 195 2.5 200 25 325 50 70 75 80	000 50 75
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	87	"That would be a good return on investment, but the problem says ""increased the cost of the house by 150%,"" which probably refers to the original cost."	contrastive_revision		000 1.5 100 120 130 150 155 195 2.5 200 25 325 50 70 75 80	150
Джеймс решает бегать по 3 спринта 3 раза в неделю. Он пробегает 60 метров за каждый спринт. Сколько всего метров он пробегает в неделю?	13	Wait, but let me confirm again.	explicit_markers,contrastive_revision	Wait	3 540 60 9	
Джеймс решает бегать по 3 спринта 3 раза в неделю. Он пробегает 60 метров за каждый спринт. Сколько всего метров он пробегает в неделю?	19	But hold on, let me make sure I didn't misinterpret the question.	explicit_markers,contrastive_revision	hold on	180 3 540 60 9	
Джеймс решает бегать по 3 спринта 3 раза в неделю. Он пробегает 60 метров за каждый спринт. Сколько всего метров он пробегает в неделю?	27	"I wonder if there's another way to misread the problem, like maybe considering that he does 3 sprints one after another 3 times, but no, the problem says ""3 раза в неделю"" which is 3 times a week."	contrastive_revision		180 3 540 60 9	3
Джеймс решает бегать по 3 спринта 3 раза в неделю. Он пробегает 60 метров за каждый спринт. Сколько всего метров он пробегает в неделю?	29	So, the answer should be 540 meters.	explicit_markers	should be	180 3 540 60 9	540
Джеймс решает бегать по 3 спринта 3 раза в неделю. Он пробегает 60 метров за каждый спринт. Сколько всего метров он пробегает в неделю?	32	But just to be thorough, let's think of units.	contrastive_revision		180 3 540 60 9	
Джеймс решает бегать по 3 спринта 3 раза в неделю. Он пробегает 60 метров за каждый спринт. Сколько всего метров он пробегает в неделю?	38	Wait, the problem might have some options?	explicit_markers	Wait	180 3 540 60 9	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	6	Since each chicken needs 3 cups and there are 20 chickens, the total daily consumption should be 3 * 20.	explicit_markers	should be	15 20 25 3	20 3
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	16	Wait, let me check that again.	explicit_markers	Wait	15 20 25 3 40 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	20	But just to think if there's another angle here.	contrastive_revision		15 20 25 3 40 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	28	But the problem says the flock size is 20 chickens.	contrastive_revision		15 20 25 3 40 60	20
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	34	Wait, each chicken gets three cups per day, spread over three meals.	explicit_markers	Wait	15 20 25 3 40 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	37	So for 20 chickens, each meal should be 20 cups.	explicit_markers	should be	1 15 20 25 3 40 60	20
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	38	Wait, that's another way to look at it.	explicit_markers	Wait	1 15 20 25 3 40 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	39	Hold on, if each chicken eats 3 cups a day in three meals, that's 1 cup per meal.	explicit_markers	Hold on	1 15 20 25 3 40 60	1 3
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	40	So each meal should be 20 cups.	explicit_markers	should be	1 15 20 25 3 40 60	20
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	41	But in the morning she gives 15 cups, which is less than 20.	contrastive_revision		1 15 20 25 3 40 60	15 20
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	43	But that contradicts the previous calculation.	contrastive_revision		1 15 20 25 3 40 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	44	Wait, this is confusing.	explicit_markers	Wait	1 15 20 25 3 40 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	47	Therefore, for 20 chickens, each meal should be 20 cups.	explicit_markers	should be	1 15 20 25 3 40 60	20
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	50	But according to the problem, in the morning she gives 15 cups, which is 5 cups short of the 20 needed.	contrastive_revision		1 15 20 25 3 40 60	15 20 5
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	55	But if each meal is supposed to be 20 cups, then the evening meal is 20, but the afternoon was already 25, which is more than 20.	contrastive_revision		1 15 20 25 3 40 5 60	20 25
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	57	Wait, maybe the problem is structured so that each meal is intended to be 20 cups, but in reality, the morning was 15, afternoon 25, so the evening needs to adjust.	explicit_markers,contrastive_revision	Wait	1 15 20 25 3 40 5 60	15 20 25
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	58	But the problem states that she gives the feed in three separate meals.	contrastive_revision		1 15 20 25 3 40 5 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	65	So if she gives 15 cups in the morning, that only feeds 15 chickens, but she has 20.	contrastive_revision		1 15 20 25 3 40 5 60	15 20
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	66	Wait, that can't be right.	explicit_markers	Wait	1 15 20 25 3 40 5 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	67	If each chicken is supposed to get 1 cup per meal, then in the morning, giving 15 cups means only 15 chickens are fed, but the flock is 20.	contrastive_revision		1 15 20 25 3 40 5 60	1 15 20
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	69	Alternatively, maybe all chickens are fed at each meal, but the amount per chicken varies.	contrastive_revision		1 15 20 25 3 40 5 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	70	"Wait, the problem says she gives the feed to ""each of her chickens"" in three separate meals."	explicit_markers	Wait	1 15 20 25 3 40 5 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	72	"Wait, the problem states: ""Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма... для поддержания их здоровья."	explicit_markers	Wait	1 15 20 25 3 40 5 60	
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	78	Therefore, each meal should be 20 cups for 20 chickens.	explicit_markers	should be	1 15 20 25 3 40 5 60	20
